cohort,family,case,forbidden_transition_accepted,exception_type,detail
PRIMARY,F1_WRONG_CAPABILITY_CLASS,40,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,41,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,42,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,43,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,44,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,45,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,46,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,47,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,48,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,49,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,50,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,51,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,52,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,53,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,54,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,55,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,56,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,57,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,58,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,59,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,60,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,61,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,62,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,63,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,64,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,65,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,66,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,67,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,68,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
