seed,context,gamma,method,top1_A,false_credit_mass,score_A,score_C,score_D,score_B,max_efficiency_error,counterfactual_structural_evaluations
1036,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.5197451411626196e-16,0.5,4.199575235271033e-17,4.199575235271033e-17,4.199575235271033e-17,1.1102230246251565e-16,20736
1036,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.725237753915913,0.35429986118966145,0.8687728763274062,0.06023895827516749,0.0061662664793105774,1.1102230246251565e-16,20736
1036,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1036,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1037,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.971662629511206e-16,0.5,4.9527710491853443e-17,4.9527710491853443e-17,4.9527710491853443e-17,1.1102230246251565e-16,20736
1037,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7144191353664464,0.41680687910020736,0.8875305300064708,0.08849537964666186,0.06667283896103082,1.1102230246251565e-16,20736
1037,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1037,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1038,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.5975535876973996e-16,0.5,4.329255979495667e-17,4.329255979495667e-17,4.329255979495667e-17,1.1102230246251565e-16,20736
1038,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6483724575951969,0.5021891247784174,0.8737724370085217,0.0043215529554336395,0.047901723521188856,1.1102230246251565e-16,20736
1038,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1038,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1039,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,3.1997855428657346e-16,0.5,5.332975904776225e-17,5.332975904776225e-17,5.332975904776225e-17,1.1102230246251565e-16,20736
1039,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6913554490514292,0.4466411757451933,0.8913852104805068,0.03549460591507879,0.07358434107346817,1.1102230246251565e-16,20736
