cohort,family,seed,upstream_state,reference_beta,unrestricted_state,unrestricted_exact_equivalent_count,unrestricted_constrained_survivor_count,unrestricted_frontier_size,unrestricted_frontier_max_path_error,constrained_state,constrained_survivor_count,near_true_beta_countermodel,near_true_beta_path_error,causal_authority_granted_unrestricted,causal_authority_granted_constrained
PRIMARY,C0_VALID,71054,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7768768347851301,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71055,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7887312346230232,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,61,61,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71056,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8065356542374322,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71057,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8189534763139109,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71058,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8429169846212241,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,12,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71059,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8071255438406666,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71060,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8054372942084268,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,12,3.552713678800501e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71061,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7861027731120417,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,61,61,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71062,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8176298331673112,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,13,3.552713678800501e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C0_VALID,71063,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.797386875216639,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,14,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C1_COORDINATED_EXCLUSION,71000,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,1.3125649690204957,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,61,61,1,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C1_COORDINATED_EXCLUSION,71001,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,1.3327435712926454,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,1,1.1102230246251565e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,,,False,False
PRIMARY,C1_COORDINATED_EXCLUSION,71002,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,1.2658382636702978,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,2,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,0.7750000000000001,8.881784197001252e-16,False,False
PRIMARY,C1_COORDINATED_EXCLUSION,71003,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,1.2924398156089114,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,2,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,0.8,8.881784197001252e-16,False,False
PRIMARY,C1_COORDINATED_EXCLUSION,71004,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,1.297501201194354,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,62,62,2,1.3322676295501878e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,0,0.8,8.881784197001252e-16,False,False
