seed,split,model,horizon,mse
2021,OOD,DYNAMIC_HISTORY,2,2.8742963522704805
2021,OOD,DYNAMIC_HISTORY,4,22.945372646472983
2021,OOD,DYNAMIC_HISTORY,8,157.33101661966614
2021,OOD,LEAKAGE_ORACLE,1,5.861424368715526e-12
2022,ID,STATELESS,1,13.062359014453232
2022,ID,STATELESS,2,50.595023779567796
2022,ID,STATELESS,4,187.47446129174415
2022,ID,STATELESS,8,647.5640903729167
2022,ID,DYNAMIC_HISTORY,1,0.018929960076857207
2022,ID,DYNAMIC_HISTORY,2,0.05414360712090703
2022,ID,DYNAMIC_HISTORY,4,0.21488698561137418
2022,ID,DYNAMIC_HISTORY,8,0.9183792267537212
2022,ID,LEAKAGE_ORACLE,1,2.4162657914959364e-12
2022,OOD,STATELESS,1,7.07967084438618
2022,OOD,STATELESS,2,23.759234205147255
2022,OOD,STATELESS,4,74.7493027585784
2022,OOD,STATELESS,8,204.12731320725433
2022,OOD,DYNAMIC_HISTORY,1,0.35671356346475264
2022,OOD,DYNAMIC_HISTORY,2,2.682296266670667
2022,OOD,DYNAMIC_HISTORY,4,20.774346738048425
2022,OOD,DYNAMIC_HISTORY,8,145.5527683262274
2022,OOD,LEAKAGE_ORACLE,1,5.602032385468365e-12
2023,ID,STATELESS,1,14.94513273479189
2023,ID,STATELESS,2,53.90882069105183
2023,ID,STATELESS,4,188.0682562498743
2023,ID,STATELESS,8,624.1283098891032
2023,ID,DYNAMIC_HISTORY,1,0.018592948817028783
2023,ID,DYNAMIC_HISTORY,2,0.050959561504664706
2023,ID,DYNAMIC_HISTORY,4,0.21636758467743383
2023,ID,DYNAMIC_HISTORY,8,0.7359094264864476
2023,ID,LEAKAGE_ORACLE,1,2.1751711738930875e-12
2023,OOD,STATELESS,1,7.934146161030792
2023,OOD,STATELESS,2,24.367122630385847
2023,OOD,STATELESS,4,65.93907730675846
2023,OOD,STATELESS,8,168.43717177086307
2023,OOD,DYNAMIC_HISTORY,1,0.4282019565387801
2023,OOD,DYNAMIC_HISTORY,2,3.192746865459245
2023,OOD,DYNAMIC_HISTORY,4,24.941368958520698
2023,OOD,DYNAMIC_HISTORY,8,171.68039346874826
2023,OOD,LEAKAGE_ORACLE,1,5.4038013429138475e-12
2024,ID,STATELESS,1,12.170075346379864
2024,ID,STATELESS,2,45.138419270721954
2024,ID,STATELESS,4,165.68896520357407
2024,ID,STATELESS,8,552.7991235182787
2024,ID,DYNAMIC_HISTORY,1,0.019108083343153108
2024,ID,DYNAMIC_HISTORY,2,0.05119152824818029
2024,ID,DYNAMIC_HISTORY,4,0.20018709126138998
2024,ID,DYNAMIC_HISTORY,8,0.7182960260477369
2024,ID,LEAKAGE_ORACLE,1,2.063089475049875e-12
2024,OOD,STATELESS,1,7.547034790724475
2024,OOD,STATELESS,2,23.765186498739155
2024,OOD,STATELESS,4,75.07576394161325
2024,OOD,STATELESS,8,202.47255178513242
2024,OOD,DYNAMIC_HISTORY,1,0.40409162265742904
2024,OOD,DYNAMIC_HISTORY,2,3.006037353383504
2024,OOD,DYNAMIC_HISTORY,4,24.438966031819675
2024,OOD,DYNAMIC_HISTORY,8,182.7234854046779
2024,OOD,LEAKAGE_ORACLE,1,5.459574831399793e-12
2025,ID,STATELESS,1,11.551688908477923
2025,ID,STATELESS,2,41.96259247136109
2025,ID,STATELESS,4,147.38088311867898
2025,ID,STATELESS,8,484.53603911798035
2025,ID,DYNAMIC_HISTORY,1,0.020688377584345816
2025,ID,DYNAMIC_HISTORY,2,0.05869951841430591
2025,ID,DYNAMIC_HISTORY,4,0.23421668215942373
2025,ID,DYNAMIC_HISTORY,8,0.860857696943891
2025,ID,LEAKAGE_ORACLE,1,2.422471055257784e-12
2025,OOD,STATELESS,1,8.873846938461408
2025,OOD,STATELESS,2,27.33352504762207
2025,OOD,STATELESS,4,78.21468438809143
2025,OOD,STATELESS,8,186.9684915247774
2025,OOD,DYNAMIC_HISTORY,1,0.42660810500329777
2025,OOD,DYNAMIC_HISTORY,2,3.174134387420282
2025,OOD,DYNAMIC_HISTORY,4,25.473497189524686
2025,OOD,DYNAMIC_HISTORY,8,179.16112985207684
2025,OOD,LEAKAGE_ORACLE,1,6.581919893498736e-12
2026,ID,STATELESS,1,13.08680171927735
2026,ID,STATELESS,2,47.4622066736074
2026,ID,STATELESS,4,165.6585948458796
2026,ID,STATELESS,8,562.4195089774698
2026,ID,DYNAMIC_HISTORY,1,0.016188889873222163
2026,ID,DYNAMIC_HISTORY,2,0.0442899519820014
2026,ID,DYNAMIC_HISTORY,4,0.16449655998886187
2026,ID,DYNAMIC_HISTORY,8,0.6462671355399392
2026,ID,LEAKAGE_ORACLE,1,2.462387750530264e-12
2026,OOD,STATELESS,1,8.836790287115534
2026,OOD,STATELESS,2,26.934187738305884
2026,OOD,STATELESS,4,83.76737244044618
2026,OOD,STATELESS,8,230.21311176743467
2026,OOD,DYNAMIC_HISTORY,1,0.4966032180293483
2026,OOD,DYNAMIC_HISTORY,2,3.848546324684832
2026,OOD,DYNAMIC_HISTORY,4,32.33238123789675
2026,OOD,DYNAMIC_HISTORY,8,228.05626626129498
2026,OOD,LEAKAGE_ORACLE,1,6.310617741116834e-12
2027,ID,STATELESS,1,12.247678715988519
2027,ID,STATELESS,2,44.087792279741485
2027,ID,STATELESS,4,155.5811745110291
2027,ID,STATELESS,8,495.82317246860896
2027,ID,DYNAMIC_HISTORY,1,0.018783331389593254
2027,ID,DYNAMIC_HISTORY,2,0.05567913135196114
2027,ID,DYNAMIC_HISTORY,4,0.19207944914550765
2027,ID,DYNAMIC_HISTORY,8,0.8128017612297028
2027,ID,LEAKAGE_ORACLE,1,2.1640301266493752e-12
2027,OOD,STATELESS,1,7.752127902281461
2027,OOD,STATELESS,2,20.757882383963313
2027,OOD,STATELESS,4,56.50416860550291
2027,OOD,STATELESS,8,121.40240749968024
2027,OOD,DYNAMIC_HISTORY,1,0.35791690280467875
2027,OOD,DYNAMIC_HISTORY,2,2.6509566063446797
2027,OOD,DYNAMIC_HISTORY,4,21.582844878349857
2027,OOD,DYNAMIC_HISTORY,8,154.04639296209325
2027,OOD,LEAKAGE_ORACLE,1,5.336080351663453e-12
